Betano-'FC Barcelona-CA Osasuna' ['1.30', '5.50', '10.25'] ### Smarkets-'FC Barcelona - Osasuna' ['1.44', '6.4', '9.6']
Betano-'FC Augsburg-Bayer 04 Leverkusen' ['5.60', '4.55', '1.53'] ### Smarkets-'FC Augsburg - Bayer 04 Leverkusen' ['6.8', '5.3', '1.52']
Betano-'FC Augsburg-Bayer 04 Leverkusen' ['5.60', '4.55', '1.53'] ### Smarkets-'FC Augsburg - Bayer 04 Leverkusen' ['7', '5.3', '1.52']
Betano-'FC Barcelona-CA Osasuna' ['1.30', '5.50', '10.25'] ### Smarkets-'FC Barcelona - Osasuna' ['1.45', '6.4', '9.6']
Betano-'Boavista FC-FC Porto' ['6.60', '4.60', '1.47'] ### Smarkets-'Boavista FC - FC Porto' ['8.4', '5.3', '1.46']
Betano-'Boavista FC-FC Porto' ['6.60', '4.60', '1.47'] ### Smarkets-'Boavista FC - FC Porto' ['8.4', '5.3', '1.45']
Betano-'Boavista FC-FC Porto' ['6.60', '4.60', '1.47'] ### Smarkets-'Boavista FC - FC Porto' ['15', '5.3', '1.45']
Betano-'FC Bayern Mnichov-TSG 1899 Hoffenheim' ['1.18', '7.80', '13.50'] ### Smarkets-'FC Bayern München - 1899 Hoffenheim' ['1.17', '12', '19.5']
Betano-'FC Bayern Mnichov-TSG 1899 Hoffenheim' ['1.18', '7.80', '13.50'] ### Smarkets-'FC Bayern München - 1899 Hoffenheim' ['1.17', '12', 'ASK']
Betano-'Inter Milán-Hellas Verona' ['1.19', '6.90', '15.00'] ### Smarkets-'Inter Milan - Hellas Verona' ['1.18', '9.4', '22']
Betano-'AFC Bournemouth-Liverpool FC' ['5.00', '4.05', '1.65'] ### Smarkets-'AFC Bournemouth - Liverpool' ['4.9', '4.8', '1.75']
Betano-'FC Barcelona-CA Osasuna' ['1.30', '5.50', '10.25'] ### Smarkets-'FC Barcelona - Osasuna' ['1.45', '6.4', '9.4']
Betano-'FC Arouca-SL Benfica' ['6.30', '4.50', '1.50'] ### Smarkets-'Arouca - Benfica' ['8', '5.3', '1.48']
Betano-'Newcastle United-Manchester City' ['5.30', '4.20', '1.60'] ### Smarkets-'Newcastle United - Manchester City' ['6.2', '5', '1.59']
Betano-'AFC Bournemouth-Liverpool FC' ['5.00', '4.05', '1.65'] ### Smarkets-'AFC Bournemouth - Liverpool' ['4.9', '4.8', '1.74']
Betano-'Istanbulspor AS-Fenerbahce SK' ['12.00', '6.40', '1.24'] ### Smarkets-'Istanbulspor - Fenerbahçe' ['15.5', '8.2', '1.23']
Betano-'FC Arouca-SL Benfica' ['6.90', '4.50', '1.47'] ### Smarkets-'Arouca - Benfica' ['10.5', '4.8', '1.46']
Betano-'Istanbul Basaksehir FK-Adana Demirspor-LIVE' ['2.30', '2.92', '3.55'] ### Smarkets-'Istanbul Basaksehir - Adana Demirspor' ['3.3', '2.2', '4.8']
Betano-'Frosinone-AC Monza' ['2.45', '3.40', '2.87'] ### Smarkets-'Frosinone - Monza' ['6.8', '4.3', '1.73']
Betano-'FC Arouca-SL Benfica' ['6.90', '4.50', '1.47'] ### Smarkets-'Arouca - Benfica' ['10', '4.9', '1.45']
Betano-'Annan Athletic-Montrose' ['2.77', '3.40', '2.37'] ### Smarkets-'Annan Athletic - Montrose' ['3.4', '3.65', '2.36']
Betano-'Istanbul Basaksehir FK-Adana Demirspor-LIVE' ['2.35', '2.77', '3.65'] ### Smarkets-'Istanbul Basaksehir - Adana Demirspor' ['3.3', '2.2', '4.8']
Betano-'Istanbul Basaksehir FK-Adana Demirspor-LIVE' ['2.77', '2.25', '3.95'] ### Smarkets-'Istanbul Basaksehir - Adana Demirspor' ['2.46', '3', '4']
Betano-'Istanbul Basaksehir FK-Adana Demirspor-LIVE' ['2.77', '2.25', '3.95'] ### Smarkets-'Istanbul Basaksehir - Adana Demirspor' ['2.62', '2.92', '4.3']
Betano-'Istanbul Basaksehir FK-Adana Demirspor-LIVE' ['2.77', '2.25', '3.95'] ### Smarkets-'Istanbul Basaksehir - Adana Demirspor' ['3.3', '2.2', '4.8']
Betano-'Annan Athletic-Montrose' ['2.77', '3.35', '2.37'] ### Smarkets-'Annan Athletic - Montrose' ['3.4', '3.65', '2.36']
Betano-'Fatih Karagumruk SK-Kayserispor' ['2.80', '3.65', '2.40'] ### Smarkets-'Fatih Karagümrük - Kayserispor' ['2.68', '4.4', '2.8']
Betano-'FC Barcelona-CA Osasuna' ['1.30', '5.50', '10.25'] ### Smarkets-'FC Barcelona - Osasuna' ['1.47', '6.2', '9.2']
Betano-'FC Vizela-Boavista FC' ['2.40', '3.25', '3.05'] ### Smarkets-'Vizela - Boavista FC' ['2.38', '3.8', '3.6']
Betano-'Fenerbahce SK-Konyaspor' ['1.27', '6.00', '10.75'] ### Smarkets-'Fenerbahçe - Konyaspor' ['1.26', '8.4', '19']
Betano-'FC Barcelona-CA Osasuna' ['1.30', '5.50', '10.25'] ### Smarkets-'FC Barcelona - Osasuna' ['1.42', '6.2', '9']
Betano-'FC Vizela-Boavista FC' ['2.40', '3.25', '3.05'] ### Smarkets-'Vizela - Boavista FC' ['2.38', '3.6', '3.75']
Betano-'Almere City FC-Fortuna Sittard' ['2.65', '3.55', '2.57'] ### Smarkets-'Almere City - Fortuna Sittard' ['2.44', '4.4', '3.85']
Betano-'FC Barcelona-CA Osasuna' ['1.30', '5.50', '10.25'] ### Smarkets-'FC Barcelona - Osasuna' ['1.42', '6.2', '8.8']
Betano-'Alanyaspor-MKE Ankaragucu' ['2.25', '3.35', '3.30'] ### Smarkets-'Alanyaspor - Ankaragücü' ['2.24', '3.5', '3.8']
Betano-'Alanyaspor-MKE Ankaragucu' ['2.25', '3.30', '3.30'] ### Smarkets-'Alanyaspor - Ankaragücü' ['2.24', '3.5', '3.8']
Betano-'FC Barcelona-CA Osasuna' ['1.30', '5.50', '10.25'] ### Smarkets-'FC Barcelona - Osasuna' ['1.46', '5.9', '9']
Betano-'FC Vizela-Boavista FC' ['2.40', '3.25', '3.05'] ### Smarkets-'Vizela - Boavista FC' ['2.38', '3.7', '3.65']
Betano-'Fenerbahce SK-Konyaspor' ['1.24', '6.00', '12.50'] ### Smarkets-'Fenerbahçe - Konyaspor' ['1.22', '8.6', '22']
Betano-'FC Barcelona-CA Osasuna' ['1.30', '5.50', '10.25'] ### Smarkets-'FC Barcelona - Osasuna' ['1.45', '5.7', '8.8']
Betano-'Hatayspor-Pendikspor' ['2.02', '3.65', '3.55'] ### Smarkets-'Antalyaspor - Pendikspor' ['1.96', '6.2', '8']
Betano-'Istanbul Basaksehir FK-Alanyaspor' ['2.00', '3.55', '3.75'] ### Smarkets-'Istanbul Basaksehir - Boluspor' ['1.62', '8.2', '17']
Betano-'Caykur Rizespor-Adana Demirspor' ['2.37', '3.55', '2.90'] ### Smarkets-'Caykur Rizespor - Adana Demirspor' ['2.36', '4.1', '3.2']
